Property Name,Amenities,Property Type,City,Country,Month,Price(in dollar),Rating,Number of Reviews,Rating Rank,Price Rank,Province State Region
"Hut in Kecamatan Ubud, Indonesia","DAY CLOUDS, Ubud",Hut,Kecamatan Ubud,Indonesia,July,72.00,4.59,122.0,641,32,
"Place to stay in Nusapenida, Indonesia",Batan Sabo Cottage,Place to stay,Nusapenida,Indonesia,September,72.00,4.72,459.0,586,32,
"Resort in Tambon Maret, Thailand",DELUXE SEA VIEW + Hot Tub @Koh Samui,Resort,Tambon Maret,Thailand,June,72.00,4.63,16.0,633,32,
"Apartment in Kuala Lumpur, Malaysia",Walk to Petronas Towers from a Stylish Apartment,Apartment,Kuala Lumpur,Malaysia,June,71.00,4.89,296.0,309,33,
"Hotel in Tambon Ratsada, Thailand",Hotel Room with Private Plunge Pool Siray Bay#2,Hotel,Tambon Ratsada,Thailand,June,71.00,5.0,13.0,39,33,
"Hotel in Tambon Ratsada, Thailand",Hotel Room with Private Plunge Pool Siray Bay#2,Hotel,Tambon Ratsada,Thailand,June,71.00,5.0,13.0,38,33,
"Resort in Lian, Philippines",#1Beach Front Villa room Villa Blanca Beach Front,Resort,Lian,Philippines,June,71.00,4.58,114.0,642,33,
"Place to stay in East Farndon, UK",Rural farm-Spacious triple bedroom with en suite,Place to stay,East Farndon,United Kingdom,July,71.00,4.92,113.0,247,33,
"Tiny home in Maynooth, Canada",Cozy Cabin #2 - private cabin in the wilderness!,Tiny home,Maynooth,Canada,June,71.00,4.89,90.0,324,33,
"Apartment in Thessaloniki, Greece",Waterfront #41Design - CozyCityCenter Flat,Apartment,Thessaloniki,Greece,July,70.00,4.84,546.0,437,34,
"Hotel room in Gili Trawangan, Indonesia",Coconut Garden Resort Gili Trawangan,Hotel room,Gili Trawangan,Indonesia,July,69.00,4.84,242.0,439,35,
"Bungalow in Fethiye, Turkey",Kaktus Suites Fethiye - City Bungalow 2 w/pool,Bungalow,Fethiye,Turkey,June,69.00,4.87,53.0,373,35,
"Condo in Manila, Philippines","Amazing Manila Bay View! Spacious Comfy, Clean *31",Condo,Manila,Philippines,June,69.00,4.9,154.0,294,35,
"Room in Torreglia, Italy",Country House,Room,Torreglia,Italy,June,69.00,4.94,84.0,202,35,
"Home in Kuta, Indonesia",Villa Seminyak 1 Bedroom 10 Mins to Beach,Home,Kuta,Indonesia,June,69.00,4.67,340.0,615,35,
"Room in Torreglia, Italy",Country House,Room,Torreglia,Italy,June,69.00,4.94,84.0,201,35,
"Treehouse in Bali, Indonesia",Lounge Poolside Under Lush Greenery at an Organic Bamboo Pad,Treehouse,Bali,Indonesia,July,69.00,4.71,98.0,597,35,
"Treehouse in Bali, Indonesia",Lounge Poolside Under Lush Greenery at an Organic Bamboo Pad,Treehouse,Bali,Indonesia,July,69.00,4.71,98.0,596,35,
"Home in Port Angeles, Washington, US",Lake Sutherland Waterfront Cabin w/ Expansive Dock,Home,Port Angeles,United States,September,688.00,4.82,83.0,484,36,Washington
"Room in Santa Lucia, Italy",Star Night Room - Van Gogh Hills B&B,Room,Santa Lucia,Italy,June,68.00,4.91,23.0,280,37,
"Villa in Uluwatu, Indonesia","Spectacular Ocean View Villa in Uluwatu, Bali",Villa,Uluwatu,Indonesia,June,673.00,4.94,143.0,197,38,
"Cottage in Bodega Bay, California, US","Seamist Beach Cottage, Private Beach & Ocean views",Cottage,Bodega Bay,United States,August,670.00,4.7,256.0,600,39,California
"Cottage in Benalauría, Spain","""La Parra"", rural tourism. Your home in paradise.",Cottage,Benalauría,Spain,September,67.00,4.99,335.0,65,40,
"Cottage in Benalauría, Spain","""La Parra"", rural tourism. Your home in paradise.",Cottage,Benalauría,Spain,September,67.00,4.99,335.0,64,40,
"Tiny home in Medellín, Colombia",Tiny House Cubo Nube Santa Elena 40 min. Medellin.,Tiny home,Medellín,Colombia,June,67.00,4.95,197.0,167,40,
"Treehouse in Fredericksburg, Texas, US",Luxury Tree House X Magical Romantic Forest! Pool!,Treehouse,Fredericksburg,United States,June,658.00,4.91,142.0,269,41,Texas
"Apartment in Tambon Kamala, Thailand",(A)Charming Pool Access One Bedroom Apartment,Apartment,Tambon Kamala,Thailand,June,65.00,4.82,68.0,487,42,
"Room in Ubud, Indonesia",Luxury Villa in Ubud,Room,Ubud,Indonesia,June,65.00,4.91,54.0,274,42,
"Apartment in Tambon Kamala, Thailand",(A)Charming Pool Access One Bedroom Apartment,Apartment,Tambon Kamala,Thailand,June,65.00,4.82,68.0,488,42,
"Apartment in Tambon Kamala, Thailand",(A)Charming Pool Access One Bedroom Apartment,Apartment,Tambon Kamala,Thailand,June,65.00,4.82,68.0,489,42,
"Condo in Malibu, California, US","Malibu, Carbon Beach - Suite Three",Condo,Malibu,United States,June,649.00,4.8,425.0,504,43,California
"Apartment in Tambon Patong, Thailand",SUNSET SEAVIEW DELUXE PATONG - POOL+TERRACE,Apartment,Tambon Patong,Thailand,June,64.00,4.8,159.0,513,44,
"Cabin in Bridge of Earn, UK","The Haven Hut, warm, cosy and cute.",Cabin,Bridge of Earn,United Kingdom,June,64.00,4.67,9.0,620,44,
"Cabin in Bridge of Earn, UK","The Haven Hut, warm, cosy and cute.",Cabin,Bridge of Earn,United Kingdom,June,64.00,4.77,69.0,562,44,
"Apartment in Tambon Patong, Thailand",SUNSET SEAVIEW DELUXE PATONG - POOL+TERRACE,Apartment,Tambon Patong,Thailand,June,64.00,4.8,159.0,511,44,
"Apartment in Phuket, Thailand, Thailand",White Breeze Pool 1BD Apartment,Apartment,Phuket,Thailand,June,64.00,4.69,112.0,605,44,Thailand
"Apartment in Tambon Patong, Thailand",SUNSET SEAVIEW DELUXE PATONG - POOL+TERRACE,Apartment,Tambon Patong,Thailand,June,64.00,4.8,159.0,512,44,
"Boutique hotel in Ko Samui, Thailand",Pool Villa by Humble,Boutique hotel,Ko Samui,Thailand,June,63.00,4.93,105.0,219,45,
"Apartment in Muang Pattaya, Thailand",#18 2022 Newest! Downtown Lux Fun Sea View Condo,Apartment,Muang Pattaya,Thailand,June,63.00,5.0,27.0,21,45,
"Dome in Atzeneta del Maestrat, Spain",Private domed Copula @ Free Spirit horse refuge,Dome,Atzeneta del Maestrat,Spain,June,63.00,4.61,154.0,636,45,
"Villa in Bacnotan, La Union, Philippines","Private Modern Beachfront Villa: Pool, Sunset View",Villa,Bacnotan,Philippines,June,628.00,5.0,15.0,34,46,La Union
"Villa in Bacnotan, La Union, Philippines","Private Modern Beachfront Villa: Pool, Sunset View",Villa,Bacnotan,Philippines,June,628.00,5.0,15.0,33,46,La Union
"Room in Botolan, Philippines",The Blue Cabin #Beach,Room,Botolan,Philippines,June,62.00,4.85,59.0,424,47,
"Apartment in Kuala Lumpur, Malaysia",Premier Lux Studio Large Tv Free Netflix | City,Apartment,Kuala Lumpur,Malaysia,June,62.00,4.9,166.0,292,47,
"Guest suite in La Marsa, Tunisia",THE AQUARIUM … waterfront 🧜🏾‍♂️,Guest suite,La Marsa,Tunisia,June,61.00,4.72,103.0,589,48,
"Apartment in Rodos, Greece",Central 1bedroom apt by the sea,Apartment,Rodos,Greece,October,61.00,4.76,214.0,566,48,
"Guest suite in La Marsa, Tunisia",THE AQUARIUM … waterfront 🧜🏾‍♂️,Guest suite,La Marsa,Tunisia,June,61.00,4.72,103.0,590,48,
"Apartment in Abram, Greece",Infinity Abram,Apartment,Abram,Greece,June,61.00,4.57,44.0,646,48,
"Home in Miazzina, Italy","Baita Vrei (2)""Titta"" - Hut Lago Maggiore",Home,Miazzina,Italy,June,61.00,4.84,63.0,450,48,
"Condo in Roviano, Italy",Apartment-Mansarda Vista Castello,Condo,Roviano,Italy,June,61.00,5.0,8.0,52,48,
"Cabin in Santa Marta, Colombia",The Dawn of Annapurna Cabin,Cabin,Santa Marta,Colombia,July,61.00,4.87,188.0,365,48,
"Home in Saco, Maine, US",The Beach House. Oceanfront & Sunrise Views!,Home,Saco,United States,June,607.00,4.64,90.0,629,49,Maine
"Room in Rome, Italy",Cozy en-suite double room in S. Peter's / Borgo,Room,Rome,Italy,November,60.00,4.88,331.0,330,50,
"Apartment in Kuala Lumpur, Malaysia",Instagrammable Loft Studio in EkoCheras KL,Apartment,Kuala Lumpur,Malaysia,July,60.00,4.94,84.0,203,50,
"Hostel in Tulum, Mexico",Meteora Stay & Coffehouse Tulum - Deluxe Queen,Hostel,Tulum,Mexico,June,59.00,4.74,105.0,577,51,
"Condo in Khet Watthana, Thailand","【CENTRAL STUDIO】0-min BTS ASOK, FAST WIFI, NETFLIX",Condo,Khet Watthana,Thailand,June,58.00,4.74,252.0,576,52,
"Loft in Mazamitla, Mexico",Loft ALAMO /El Refugio Cabañas Mazamitla,Loft,Mazamitla,Mexico,June,58.00,4.44,146.0,668,52,
"Loft in Baošići, Montenegro",Porto Bello Lux ( Sea View & Swimming Pool),Loft,Baošići,Montenegro,June,58.00,4.9,110.0,296,52,
"Loft in Baošići, Montenegro",Porto Bello Lux ( Sea View & Swimming Pool),Loft,Baošići,Montenegro,June,58.00,4.9,110.0,297,52,
"Tiny home in Vouzela, Portugal",Gallas Pod House,Tiny home,Vouzela,Portugal,June,57.00,5.0,25.0,23,53,
"Hut in Wolfegg, Germany","Shepherd's hut ""Wolkakkrazer"" near Wolfegg",Hut,Wolfegg,Germany,July,57.00,4.88,220.0,333,53,
"Loft in Mexico City, Mexico",Loft Boutique Cd de México Mountain view 🏔,Loft,Mexico City,Mexico,July,57.00,4.84,155.0,442,53,
"Apartment in Cancún, Mexico",Majestic Ocean Front Terrace II,Apartment,Cancún,Mexico,July,57.00,4.83,240.0,459,53,
"Apartment in La Habana, Cuba",Old Havana+Cuban Style Place+Roof Top+WiFi,Apartment,La Habana,Cuba,June,57.00,4.48,161.0,661,53,
"Apartment in Punta Cana, Dominican Republic",Charming Beach Condo in Bavaro Top Location,Apartment,Punta Cana,Dominican Republic,June,57.00,4.76,200.0,567,53,
"Apartment in Patong, Thailand","Endless Patong Ocean View from a Hilltop Condominium, Phuket",Apartment,Patong,Thailand,June,56.00,4.95,252.0,163,54,
"Room in Barcelona , Spain",Nice room in duplex + terrace near BCN,Room,Barcelona,Spain,November,55.00,4.89,128.0,320,55,
"Apartment in Plaka, Greece","Akti Karras, Plaka Naxos (up to 2 guests)",Apartment,Plaka,Greece,June,55.00,4.91,23.0,281,55,
"Home in Cabo San Lucas, Mexico","Cabo Center,Ocean view Great price!",Home,Cabo San Lucas,Mexico,June,55.00,4.94,615.0,183,55,
"Shepherd’s hut in Hessisch Lichtenau, Germany","""Lieblingsplatz"" shepherd's hut",Shepherd’s hut,Hessisch Lichtenau,Germany,June,55.00,4.96,24.0,151,55,
"Room in Dassel, Germany",Alte Wassermühle Friedrichshausen - Eulenstube,Room,Dassel,Germany,June,55.00,4.96,25.0,149,55,
"Room in Cuauhtémoc, , Mexico",Guest Suite in Historic Architecture Home,Room,Cuauhtémoc,Mexico,June,55.00,4.82,443.0,472,55,
"Apartment in Tulum, Mexico",☆King Bed Apartment☆ Suk-Ha ☆ La Veleta,Apartment,Tulum,Mexico,June,55.00,4.6,73.0,637,55,
