title,property_type,city,country,detail,amenities,date,day,month,price,rating,review
"Barn in Essex, Canada",,,US,14th Homestead Barn Loft,,Jun 11 - 16,11,6,163.0,4.9,
"Apartment in Bacalar, Mexico",,,US,"Lagoon Front Hut: Daily Cleaning, Bikes & Kayaks!",,Jun 18 - 23,18,6,141.0,4.89,
"Treehouse in Travelers Rest, South Carolina, US",,,US,The Forestry House - A modern luxury treehouse.,,Aug 20 - 25,20,8,282.0,,
"Farm stay in Del Norte County, California, US",,,US,Underground Hobbit Hole @ Sustainable Ecovillage,,Jun 9 - 14,9,6,89.0,4.54,
"Treehouse in San Carlos, Costa Rica",,,US,Rainforest Tree House with Hot Springs,,Aug 31 - Sep 5,31,,132.0,4.84,
"Treehouse in Frazeysburg, Ohio, US",,,US,Tullihas in the Trees Off-Grid Treehouse,,Jun 4 - 9,4,6,143.0,4.98,
"Cabin in Rodney, Canada",,,US,SECLUDED LAKESIDE CABIN,,Jul 23 - 28,23,7,463.0,4.99,
"Room in La Habana, Cuba",,,US,Fauria Colonial House (Room 3),,Jun 21 - 26,21,6,29.0,4.92,
"Dome in Terlingua, Texas, US",,,US,Domeland: Off-grid Adobe Dome near Big Bend,,Jul 9 - 14,9,7,136.0,4.95,
"Home in Port Angeles, Washington, US",,,US,Lake Sutherland Waterfront Cabin w/ Expansive Dock,,Sep 1 - 6,1,9,688.0,4.82,
"Treehouse in Fredericksburg, Texas, US",,,US,Luxury Tree House X Magical Romantic Forest! Pool!,Pool,Jun 18 - 23,18,6,658.0,4.91,
"Cottage in Harcourt, Canada",,,US,Scandinavian-Inspired Tiny Home Experience,,Sep 3 - 8,3,9,392.0,4.98,
"Tiny home in Medellín, Colombia",,,US,Tiny House Cubo Nube Santa Elena 40 min. Medellin.,,Jun 17 - 22,17,6,67.0,4.95,
"Cabin in Medellín, Colombia",,,US,Chalet Boutique Saltamontes Santa Elena,,Jun 4 - 9,4,6,51.0,4.94,
"Cabin in Bryson City, North Carolina, US",,,US,Secluded View! A-Frame Hot Tub and Fire Pit,Jacuzzi,Jun 19 - 24,19,6,354.0,4.95,
"Place to stay in Retiro, Colombia",,,US,★ BubbleSky Glamping ★ One Night Under Stars ★3,,Jun 23 - 28,23,6,107.0,4.9,
"Cabin in Bluefields, Jamaica",,,US,Cozy Oceanview Cabin,,Jul 14 - 21,14,7,102.0,4.88,
"Hut in Bavaro, Dominican Republic",,,US,Hut #1 Romantic Luxury Beachfront,"Ocean front, Air conditioning",Jul 1 - 6,1,7,171.0,4.89,
"Treehouse in Marion, North Carolina, US",,,US,Treehouse w/Breathtaking Views+HotTub+Hiking+Falls,,Aug 12 - 17,12,8,286.0,5.0,
"Dome in Sandgate, Vermont, US",,,US,“Whimsical Stone Abode” - Boston Magazine,,Jun 6 - 11,6,6,301.0,5.0,
"Condo in Puerto Vallarta, Mexico",,,US,Buddha Loft in Romantic Zone of Puerto Vallarta,,Jul 12 - 17,12,7,112.0,4.85,
"Cabin in Sanbornton, New Hampshire, US",,,US,The G Frame...an offGrid Cabin + woodstove sauna,,Jun 4 - 9,4,6,169.0,4.96,
"Room in La Habana, Cuba",,,US,Casa Blanca B&B with beautiful terrace &sea views,"Ocean view, Air conditioning",Sep 11 - 16,11,9,43.0,4.82,
"Home in Moss Beach, California, US",,,US,Walk to the Beach from this Ocean Front Home,"Ocean front, Air conditioning",Jun 1 - 6,1,6,1463.0,4.94,
"Cottage in Wheatley, Canada",,,US,"Cozy Modern Beach House w/ Pool, Hot Tub & More!","Pool, Jacuzzi, Air conditioning",Jun 4 - 11,4,6,764.0,4.74,
"Cabin in Topanga, California, US",,,US,"Crystal Cabin, Restored Vintage Lodge in Topanga State Park",,Jun 3 - 8,3,6,225.0,4.94,
"Chalet in Cajicá, Colombia",,,US,Casa Anís,,Jun 1 - 6,1,6,40.0,4.96,
"Cabin in Center Conway, New Hampshire, US",,,US,Warm Pine A-frame Nestled In The Trees!,,Jul 1 - 6,1,7,287.0,4.79,
"Cottage in Renous, Canada",,,US,Hambrook Point Cottage “Homestead”,,Jun 25 - 30,25,6,93.0,4.87,
"Tiny home in Huntsville, Missouri, US",,,US,O’s Barn Cabin,,Jul 4 - 9,4,7,118.0,4.94,
"Tiny home in Castleton, Canada",,,US,"Artsy ""Glamping"" experience",,Jul 21 - 26,21,7,138.0,4.91,
"Cottage in Bodega Bay, California, US",,,US,"Seamist Beach Cottage, Private Beach & Ocean views","Ocean view, Air conditioning",Aug 13 - 18,13,8,670.0,4.7,
"Cabin in Rocky View County, Canada",,,US,100+ Year old Rustic Log Cabin near Ghost Lake,,Aug 25 - 30,25,8,135.0,4.83,
"Houseboat in Low, Canada",,,US,The Dragon + Private Island,,Jun 1 - 6,1,6,178.0,4.87,
"Guesthouse in Key Largo, Florida, US",,,US,"Private Cottage, enjoy beach, sunsets & fishing.",Air conditioning,Jul 11 - 16,11,7,218.0,4.89,
"Condo in Malibu, California, US",,,US,"Malibu, Carbon Beach - Suite Seven",Air conditioning,Jun 6 - 13,6,6,898.0,4.86,
"Cottage in Petit-Tracadie, Canada",,,US,Waterfront Cottage #1 /Waterfront cottage,,Jun 4 - 9,4,6,144.0,4.92,
"Cabin in Jarratt, Virginia, US",,,US,Harrell’s Cabin,,Jun 4 - 9,4,6,125.0,4.82,
"Cabin in El Peñol, Colombia",,,US,6 Ibuku Big Cabin by Lake Jacuzzi Kayak,"Jacuzzi, Air conditioning",Jun 12 - 17,12,6,220.0,4.93,
"Guest suite in North Vancouver, Canada",,,US,The Brite House - Oceanfront Sojourn,,Jun 6 - 11,6,6,305.0,4.87,
"Home in Shirley, Canada",,,US,♨ Cedar Coast Lodge - Coastal retreat w/ HOT TUB,Jacuzzi,Jun 4 - 9,4,6,480.0,4.82,
"Apartment in Miami, Florida, US",,,US,"LUXURY 5★s ICON BRICKELL CONDO@47TH, GYM/POOL",Pool,Jun 27 - Jul 4,27,,398.0,4.89,
"Room in Kansas City, Missouri, US",,,US,Mansion in the Park - garden view queen en suite,,Jun 4 - 10,4,6,148.0,4.99,
"Dome in Lac-Supérieur, Canada",,,US,Dome L'Albatros | Private Spa | BBQ Zone,,Jul 25 - 31,25,7,322.0,4.86,
"Chalet in Saint-Damien, Canada",,,US,The Majesta ! Incredible Sunset !,,Jun 1 - 6,1,6,315.0,5.0,
"Home in Tulum, Mexico",,,US,"Heaven Lodge, entire house surrounded by nature",,Jun 2 - 7,2,6,128.0,4.86,
"Apartment in Tulum, Mexico",,,US,☆King Bed Apartment☆ Suk-Ha ☆ La Veleta,,Jun 1 - 6,1,6,55.0,4.6,
"Chalet in Durham, Canada",,,US,Newly-Constructed Riverfront Chalet,,Jun 4 - 9,4,6,360.0,4.97,
"Tent in Island Park, Idaho, US",,,US,"Yellowstone Luxury Tent; sleeps 3, 1 king +1 futon",,Jun 15 - 20,15,6,224.0,5.0,
"Cabin in Arrowbear Lake, California, US",,,US,A-Frame Apogee | Hot Tub · Epic Views · Swing Set,Jacuzzi,Jun 19 - 24,19,6,227.0,4.96,
"Home in Borinquen, Puerto Rico",,,US,The Nest at Crash Boat. Only waterfront on Beach,Air conditioning,Aug 7 - 12,7,8,363.0,4.9,
"Cottage in Wasaga Beach, Canada",,,US,Cozy Riverfront Cottage Retreat with Dock,,Jun 11 - 16,11,6,232.0,4.84,
"Tiny home in Blockhouse, Canada",,,US,The Ruby -A Rustic Red Ark tiny home,,Jun 18 - 23,18,6,81.0,4.98,
"Guesthouse in Peachland, Canada",,,US,Romantic lakefront estate with lake view & deck,,Jun 2 - 7,2,6,271.0,5.0,
"Cabin in Shaftsbury, Vermont, US",,,US,The Vermont Dream Cabin on 70 Acres,Air conditioning,Jun 4 - 9,4,6,219.0,4.89,
"Cabin in Tulum, Mexico",,,US,Jungle Lodge at Nahouse in Tulum,,Jun 1 - 6,1,6,109.0,,
"Dome in Windermere, Canada",,,US,Cougar Dome at Winderdome Resort!,,Aug 27 - Sep 1,27,,335.0,5.0,
"Condo in Myrtle Beach, South Carolina, US",,,US,Cool Clean Condo with Brilliant Oceanfront View,,Jun 25 - Jul 1,25,,261.0,4.58,
"Hotel room in Laguna Beach, California, US",,,US,Beachfront Laguna Beach Magnificent Oceanviews 26,"Ocean front, Air conditioning",Jun 1 - 6,1,6,287.0,4.38,
"Apartment in Playa del Carmen, Mexico",,,US,"Su mejor opción en Playa del Carmen, a pasos de la quinta av.",,Jun 4 - 9,4,6,89.0,4.78,
"Tiny home in Maynooth, Canada",,,US,Cozy Cabin #2 - private cabin in the wilderness!,,Jun 4 - 9,4,6,71.0,4.89,
"Guesthouse in Cabo Rojo, Puerto Rico",,,US,Villa Vista Puerto,,Jun 26 - Jul 1,26,,138.0,4.86,
"Tiny home in Canning, Canada",,,US,Split View Two,,Aug 2 - 7,2,8,134.0,4.95,
"Cottage in Luquillo, Puerto Rico",,,US,The Sugar Shack a unique cabin in the Rainforest,Air conditioning,Sep 4 - 9,4,9,75.0,4.92,
"Condo in Lahaina, Hawaii, US",,,US,Noelani-My Perfect Stays Special: Jun 9-16 $189,,Jun 9 - 14,9,6,302.0,4.82,
"Condo in Hollywood, Florida, US",,,US,Amazing Hyde One-bedroom apartment on the Beach,Air conditioning,Jun 4 - 9,4,6,248.0,4.56,
"Cabin in Naples, New York, US",,,US,East hill cabins #1,,Jun 11 - 16,11,6,91.0,4.82,
"Campsite in Nemaiah Valley, Canada",,,US,Sunset Wilderness Camp,,Jun 1 - 6,1,6,34.0,4.0,
"Loft in The Blue Mountains, Canada",,,US,Chateau Ridge Chalet w/ Mountain View,,Jun 5 - 12,5,6,154.0,4.84,
"Loft in The Blue Mountains, Canada",,,US,Cozy Blue Mountain Retreat @!@Spring Rates@!@,,Jun 4 - 9,4,6,118.0,4.72,
"Room in Mexico City, Mexico",,,US,5 min to Airport with Terrace in a Safe area !,Air conditioning,Jun 3 - 8,3,6,31.0,4.85,
"Tiny home in Komoka, Canada",,,US,The Cabin at Fernwood Hills,,Jun 11 - 16,11,6,112.0,4.9,
"Place to stay in Punta Cana, Dominican Republic",,,US,Hut #3 Romantic Luxury on the sand,,Jul 11 - 16,11,7,132.0,4.86,
"Home in Hilbert, Wisconsin, US",,,US,State Park A-Frame with Hiking Trails & Arcade,,Jun 4 - 9,4,6,239.0,4.97,
"Dome in Whittier, North Carolina, US",,,US,Luxury Dome w/ Hot Tub & Mountain View,Jacuzzi,Aug 7 - 12,7,8,291.0,5.0,
"Place to stay in Punta Cana, Dominican Republic",,,US,Hut #3 Romantic Luxury on the sand,,Jul 11 - 16,11,7,132.0,4.86,
"Home in Hilbert, Wisconsin, US",,,US,State Park A-Frame with Hiking Trails & Arcade,,Jun 4 - 9,4,6,239.0,4.97,
"Home in Puntarenas Province, Costa Rica",,,US,House with pool in the heights of Santa Teresa,Pool,Jun 4 - 9,4,6,230.0,5.0,
"Loft in Monteverde, Costa Rica",,,US,Kapetsowa Container Loft near Monteverde Reserve,,Sep 5 - 10,5,9,159.0,4.87,
"Nature lodge in Quesada, Costa Rica",,,US,Cabin Over a water fall,,Jun 5 - 10,5,6,82.0,4.94,
"Boat in Key West, Florida, US",,,US,Cozy Houseboat “Wild One”,,Jun 11 - 16,11,6,233.0,5.0,
"Cabin in Zapotal, Costa Rica",,,US,Pipe’s Lodge,,Jun 4 - 9,4,6,51.0,4.87,
"Guesthouse in Destin, Florida, US",,,US,New Carriage House * 1 Block to Beach * King Bed!,Air conditioning,Aug 13 - 18,13,8,231.0,,
"Tiny home in Playa Hermosa, Costa Rica",,,US,Beachfront Bungalow with private hydromassage Pool,"Pool, Ocean front, Air conditioning",Jul 3 - 9,3,7,162.0,4.95,
"Home in Bellingham, Washington, US",,,US,Bellingham A-Frame - Hot tub & Firepit,Jacuzzi,Jun 11 - 16,11,6,232.0,,
"Apartment in San Juan, Puerto Rico",,,US,"Villa Bohème 3, 1BR with Patio",,Jul 8 - 13,8,7,115.0,,
"Loft in Mexico City, Mexico",,,US,Loft Boutique Cd de México Mountain view 🏔,,Jul 9 - 14,9,7,57.0,4.84,
"Cabin in Gold Bar, Washington, US",,,US,New lux cabin w/mount index view,,Jun 25 - 30,25,6,253.0,4.86,
"Home in Malibu, California, US",,,US,Guesthouse Great Ocean & Mountain Views near Beach,Air conditioning,Jul 31 - Aug 5,31,,468.0,4.87,
"Tiny home in Orlando, Florida, US",,,US,The Little Tree House at Country Club of Orlando,,Jul 9 - 14,9,7,127.0,4.98,
"Boat in Marathon, Florida, US",,,US,Paradise awaits on this cozy houseboat!,,Jul 17 - 22,17,7,276.0,4.77,
"Hut in Uvero Alto - Bavaro - Punta Cana, Dominican Republic",,,US,Hut #2 Romantic Luxury on the sand,,Aug 1 - 6,1,8,186.0,4.94,
"Loft in Mazamitla, Mexico",,,US,Loft ALAMO /El Refugio Cabañas Mazamitla,,Jun 25 - 30,25,6,58.0,4.44,
"Hut in Uvero Alto - Bavaro - Punta Cana, Dominican Republic",,,US,Hut #2 Romantic Luxury on the sand,,Aug 1 - 6,1,8,186.0,4.94,
"Apartment in Punta Cana, Dominican Republic",,,US,Pool View Beach Residence / Private Beach Access,"Pool, Air conditioning",Jun 21 - 26,21,6,37.0,4.71,
"Treehouse in Wardensville, West Virginia, US",,,US,Eagles Nest Treehouse w/Hot tub!,Jacuzzi,Jun 4 - 10,4,6,244.0,,
"Boat in Stuart, Florida, US",,,US,Modern Houseboat On the water,,Aug 6 - 11,6,8,173.0,4.97,
"Apartment in Playa del Carmen, Mexico",,,US,BoHo lofts & studios new modern w/ ocean-view pool,Pool,Jun 1 - 7,1,6,38.0,4.59,
"Condo in Miami Beach, Florida, US",,,US,Oceanfront 14th Floor Brand New Beachfront Flat,"Ocean front, Air conditioning",Jun 14 - 19,14,6,302.0,4.85,
"Earthen home in Weaverville, North Carolina, US",,,US,Hobbithenge,,Jun 5 - 10,5,6,142.0,4.83,
"Shipping container in Playa Hermosa, Costa Rica",,,US,Beachfront Bungalow w/ private hydromassage pool 2,"Pool, Ocean front, Air conditioning",Jun 10 - 15,10,6,147.0,4.9,
"Cabin in Marion, North Carolina, US",,,US,"Luxury Treehouse, Romantic, Views, Hike-Waterfall",,Jul 29 - Aug 3,29,,228.0,5.0,
"Camper/RV in Half Moon Bay, California, US",,,US,Quiet and Private Retreat in a 1967 Airstream on the Coast.,,Jun 25 - 30,25,6,220.0,4.93,
"Dome in Hiawassee, Georgia, US",,,US,Tiny Dome River Glamping Experience,,Jun 18 - 23,18,6,143.0,4.86,
"Apartment in San José, Costa Rica",,,US,New Boho Sabana Apartment Close to Airports w/ AC,Air conditioning,Jun 23 - 28,23,6,89.0,4.85,
"Condo in Rosarito, Mexico",,,US,Elegant Ocean Front Condo! Rosarito Beach !WOW!!,"Ocean front, Air conditioning",Jun 10 - 15,10,6,171.0,4.81,
"Condo in Atlantic City, New Jersey, US",,,US,Highest Reviewed - Ocean Front + Free Parking!,"Ocean front, Parking",Jun 18 - 23,18,6,170.0,4.85,
"Cabin in Santa Marta, Colombia",,,US,The Dawn of Annapurna Cabin,,Jul 29 - Aug 3,29,,61.0,4.87,
"Home in Cabo San Lucas, Mexico",,,US,"Cabo Center,Ocean view Great price!",Ocean view,Jun 6 - 11,6,6,55.0,4.94,
"Home in Kawartha Lakes, Canada",,,US,nortehaus - Nordic and Japanese inspired escape,,Jun 18 - 23,18,6,402.0,5.0,
"Loft in Cholula, Mexico",,,US,Architect's Loft in Cholula,,Jun 18 - 23,18,6,32.0,4.81,
"Cabin in Jacó, Costa Rica",,,US,Jungle house 3km to Jaco beach & town center,Air conditioning,Jun 30 - Jul 5,30,,76.0,4.84,
"Tiny home in Malibu, California, US",,,US,"Malibu Charming GH, Mins Drive to Beach & Hike",Air conditioning,Jul 22 - 27,22,7,332.0,4.78,
"Apartment in Orlando, Florida, US",,,US,Studio near Disney,,Jun 10 - 15,10,6,80.0,4.43,
"Treehouse in Río Grande, Puerto Rico",,,US,Charming Treehouse with Pool,Pool,Sep 10 - 15,10,9,217.0,5.0,
"Loft in Mazatlán, Mexico",,,US,Oceanfront loft,,Jun 10 - 15,10,6,100.0,4.92,
"Apartment in Cancún, Mexico",,,US,Majestic Ocean Front Terrace II,"Ocean front, Air conditioning",Jul 23 - 29,23,7,57.0,4.83,
"Home in Real Montecassino, Mexico",,,US,New! Bamboo Bosque Mio (Stars & Campfires),,Jun 4 - 9,4,6,113.0,4.82,
"Cottage in Huntsville, Canada",,,US,"Cabin for 2 w/ Hot Tub, Muskoka Romantic Getaway",Jacuzzi,Jun 1 - 6,1,6,335.0,4.97,
"Apartment in La Habana, Cuba",,,US,Old Havana+Cuban Style Place+Roof Top+WiFi,"Wi-Fi, Air conditioning",Jun 4 - 9,4,6,57.0,4.48,
"Home in Vero Beach, Florida, US",,,US,"Heated Pool, Putt Putt Golf",Pool,Jun 11 - 16,11,6,468.0,4.93,
"Room in Cuauhtémoc, , Mexico",,,US,Guest Suite in Historic Architecture Home,,Jun 16 - 23,16,6,55.0,4.82,
"Condo in Kaunakakai, Hawaii, US",,,US,$87 a night Molokai Escape Condo,,Jun 29 - Jul 6,29,,101.0,4.76,
"Treehouse in Atenas, Costa Rica",,,US,Treehouse on a Coffee Farm with Ocean View,Ocean view,Jun 25 - Jul 2,25,,74.0,5.0,
"Apartment in Tulum, Mexico",,,US,Design Casa Patchouli with private pool and lounge,Pool,Jun 21 - 26,21,6,283.0,4.98,
"Shipping container in Jauca, Puerto Rico",,,US,Pequeño espacio Romántico piscina y muelle privado,Air conditioning,Jul 17 - 22,17,7,220.0,4.95,
"Tiny home in Peachland, Canada",,,US,Haven in the Woods- tiny home WiFi & solar power,Wi-Fi,Jun 11 - 16,11,6,76.0,5.0,
"Shipping container in Puerto Viejo de Talamanca, Costa Rica",,,US,Mimosa Y - Beautiful Unique Container Home w' Pool,Pool,Jun 3 - 8,3,6,90.0,4.85,
"Shipping container in Puerto Viejo de Talamanca, Costa Rica",,,US,Mimosa Y - Beautiful Unique Container Home w' Pool,Pool,Jun 3 - 8,3,6,90.0,4.85,
"Apartment in Acapulco, Mexico",,,US,COMFORTABLE BEACH DEPA OVERLOOKING THE SEA,Air conditioning,Jun 4 - 9,4,6,42.0,4.57,
"Yurt in Airville, Pennsylvania, US",,,US,Waterfront Glamping Muddy Creek PA,,Jun 4 - 10,4,6,102.0,4.95,
"Boutique hotel in San Juan, Puerto Rico",,,US,2 Pools on property | Walk to the beach | Rosalina Ocean Park | Luxury Suite 3,"Pool, Air conditioning",Jul 27 - Aug 2,27,,164.0,4.81,
"Room in Acapulco, Mexico",,,US,Love nest when singing of the Sea!,,Jun 6 - 11,6,6,41.0,4.68,
"Home in Pinilla, Costa Rica",,,US,Casa La Paz vistas al mar @ Pinilla Highlands,,Jul 30 - Aug 6,30,,146.0,4.86,
"Farm stay in Siler City, North Carolina, US",,,US,Lovely farm cabin experience,,Jun 11 - 16,11,6,114.0,5.0,
"Tiny home in Horning's Mills, Canada",,,US,Pine River Bunkies: Heron’s Landing Off Grid Cabin,,Jun 1 - 6,1,6,120.0,4.89,
"Camper/RV in Ashford, Washington, US",,,US,The Alpine Airstream at Mt. Rainier with Hot Tub,Jacuzzi,Jun 11 - 16,11,6,286.0,5.0,
"Bungalow in Newport Beach, California, US",,,US,"Surf, Sand & Sunsets - Goldenrod CdM BEACH STUDIO",Air conditioning,Jul 31 - Aug 7,31,,229.0,4.8,
"Hut in Guarne, Colombia",,,US,Refugio LOS PAPIROS,,Jun 4 - 9,4,6,18.0,4.89,
"Room in Acapulco, Mexico",,,US,Beach crab.,Air conditioning,Jun 1 - 6,1,6,43.0,4.74,
"Cabin in Fennville, Michigan, US",,,US,Fire & Water | Rejuvenating Stay on the Riverbend,,Jun 4 - 9,4,6,743.0,4.83,
"Home in Tamanique, El Salvador",,,US,Black rose -Right house-,Air conditioning,Jun 11 - 16,11,6,243.0,4.63,
"Nature lodge in Las Galeras, Dominican Republic",,,US,"Casa El Paraiso, Las Galeras (room #5)",,Jun 10 - 15,10,6,286.0,4.94,
"Room in Monteverde, Costa Rica",,,US,Holistic House Diamond,,Jun 5 - 11,5,6,160.0,4.96,
"Tiny home in Malibu, California, US",,,US,"Malibu Serene Guest House, Mins to Beach & Hike",Air conditioning,Jun 25 - 30,25,6,252.0,4.77,
"Apartment in Cancún, Mexico",,,US,Free Transportation / Premium Beach Loft 1711th,Air conditioning,Jun 1 - 6,1,6,138.0,5.0,
"Cabin in Gilmour, Canada",,,US,Cozy cabin on 5 acres !,Air conditioning,Jun 4 - 9,4,6,86.0,4.73,
"Condo in Ocean City, Maryland, US",,,US,OceanfrontStudio-Slps4-Pool-Pickleball-HBOMax-Dis+,Pool,Jun 9 - 16,9,6,291.0,4.94,
"Apartment in Cancún, Mexico",,,US,Amazing Ocean Front II,Ocean front,Jul 9 - 14,9,7,45.0,4.88,
"Condo in Rosarito, Mexico",,,US,LUXE & STYLISH/3BR/LAS OLAS CONDO/12TH FLR/ROSARITO,,Jun 11 - 16,11,6,173.0,4.8,
"Room in New York, New York, US",,,US,"Lovely Private Room-Manhattan, 70s-Upper East Side",,Jul 9 - 14,9,7,103.0,4.93,
"Cottage in Islamorada, Florida, US",,,US,1 BD PRIVATE HOUSEBOAT/ COTTAGE TARPON,,Aug 6 - 11,6,8,229.0,4.85,
"Apartment in Gordonville, Pennsylvania, US",,,US,“What a wonderful world” - Modern Farmhouse,,Jun 4 - 9,4,6,165.0,4.87,
"Cottage in Quintana Roo, Mexico",,,US,Glass Roof House #2 at Glass 20.87,,Jun 10 - 15,10,6,221.0,4.93,
"Cabin in Georgetown, Maine, US",,,US,"Modern Cabin On Pond, AC & Porch",Air conditioning,Jun 2 - 7,2,6,231.0,,
"Apartment in Marina del Rey, California, US",,,US,Romantic Ocean Penthouse w/ panoramic marina views,,Jun 1 - 8,1,6,247.0,4.77,
"Hotel in Tepoztlán, Mexico",,,US,Posada Sarita,,Jun 3 - 10,3,6,50.0,4.56,
"Cottage in Oceanside, California, US",,,US,"Beach Bungalow on the Sand, Steps to the Ocean",Air conditioning,Jun 3 - 8,3,6,483.0,4.93,
"Apartment in Los Angeles, California, US",,,US,Historic Venice Apt 1/2 blocks to beach+parking,"Parking, Air conditioning",Nov 16 - 21,16,11,185.0,4.94,
"Home in Cape Coral, Florida, US",,,US,Amazing Modern Home with Pool and Hot Tub!,"Pool, Jacuzzi",Jul 11 - 16,11,7,167.0,4.84,
"Condo in Malibu, California, US",,,US,"Malibu, Carbon Beach - Suite Three",Air conditioning,Jun 4 - 9,4,6,649.0,4.8,
"Farm stay in Saint Marys, Canada",,,US,Cozy Farm Stay Getaway,,Jun 11 - 16,11,6,99.0,4.86,
"Tiny home in Mill Village, Canada",,,US,UpStream (Waterfront Cabin With Wood Stove & WiFi),Wi-Fi,Jun 25 - 30,25,6,97.0,4.87,
"Place to stay in Tepoztlán, Mexico",,,US,M6. Alojamiento ideal para explorar Tepoztlán,,Jun 25 - Jul 1,25,,40.0,4.86,
"Cabin in Mineral Bluff, Georgia, US",,,US,Scenic Solitude-Amazing Mountain views on 5 acres,Air conditioning,Jun 4 - 9,4,6,302.0,5.0,
"Room in New York, New York, US",,,US,"Lovely Private Room-Manhattan, 70s-Upper East Side",,Jul 9 - 14,9,7,103.0,4.93,
"Cottage in Islamorada, Florida, US",,,US,1 BD PRIVATE HOUSEBOAT/ COTTAGE TARPON,,Aug 6 - 11,6,8,229.0,4.85,
"Apartment in Gordonville, Pennsylvania, US",,,US,“What a wonderful world” - Modern Farmhouse,,Jun 4 - 9,4,6,165.0,4.87,
"Cottage in Quintana Roo, Mexico",,,US,Glass Roof House #2 at Glass 20.87,,Jun 10 - 15,10,6,221.0,4.93,
"Condo in Luquillo, Puerto Rico",,,US,“Playa Luna”- Breathtaking Ocean and City Views,,Jul 2 - 7,2,7,138.0,4.88,
"Room in Malibu, California, US",,,US,"Peace, Beauty & Ocean View, Malibu","Ocean view, Air conditioning",Sep 12 - 17,12,9,189.0,4.95,
"Treehouse in Sundridge, Canada",,,US,Lount Treetop Rentals - Unit 2,,Jun 1 - 6,1,6,135.0,4.97,
"Apartment in Galveston, Texas, US",,,US,Beach Front Condo In Casa Del Mar,Air conditioning,Jun 18 - 24,18,6,205.0,4.72,
"Apartment in Laguna Beach, California, US",,,US,Laguna Beach Studio Oceanviews 49,Air conditioning,Jun 1 - 6,1,6,148.0,4.36,
"Apartment in Punta Cana, Dominican Republic",,,US,Charming Beach Condo in Bavaro Top Location,Air conditioning,Jun 3 - 8,3,6,57.0,4.76,
"Cabin in Woodford, Vermont, US",,,US,400+ Airbnb Visits: Incredible Mountain Cabin,,Jun 4 - 9,4,6,137.0,4.85,
"Cabin in Bowen Island, Canada",,,US,the legendary wildwood cabins ~ CABIN 2,,Sep 24 - 29,24,9,126.0,4.99,
"Hotel room in Laguna Beach, California, US",,,US,Oceanfront Laguna Beach Amazing Views 28,Air conditioning,Jun 4 - 9,4,6,276.0,4.63,
"Place to stay in Hopatcong, New Jersey, US",,,US,Lake Sports Home & Super water sports!,,Aug 20 - 25,20,8,154.0,5.0,
"Guesthouse in Naples, Florida, US",,,US,Waterfront Sea Cottage,,Jun 13 - 18,13,6,82.0,4.8,
"Cabin in Reaboro, Canada",,,US,Cedar Springs Cabin - A Cozy Hideaway in the Woods,,Jun 16 - 21,16,6,346.0,4.97,
