property_name,property_type,amenity_text,amenities_found,amenity_count,date,start_month,start_day,end_month,end_day,price_in_dollar,review_and_rating,rating,review,location,city,country
"Cabin in Nelson, Canada",Cabin,Downey Family Cabin. Barrel Sauna Included!,['Sauna'],1,Jun 1 - 6,Jun,1,Jun,6,162.0,4.99 (226),4.99,226.0,"Nelson, Canada",Nelson,Canada
"Dome in Joshua Tree, California, US",Dome,Dome in the Desert in Joshua Tree,[],0,Jun 1 - 6,Jun,1,Jun,6,268.0,4.94 (944),4.94,944.0,"Joshua Tree, California, US","Joshua Tree, California",US
"Barn in Vero Beach, Florida, US",Barn,Private Barn Studio at Pura Vida Florida Farm,[],0,Sep 11 - 16,Sep,11,Sep,16,111.0,4.95 (417),4.95,417.0,"Vero Beach, Florida, US","Vero Beach, Florida",US
"Tiny home in Bolton, Vermont, US",Tiny home,Cozy Tiny House Cabin between Burlington and Stowe,[],0,Jun 1 - 6,Jun,1,Jun,6,174.0,4.97 (372),4.97,372.0,"Bolton, Vermont, US","Bolton, Vermont",US
"Cabin in Ucluelet, Canada",Cabin,Peace Cabin - private waterfront forest retreat,['Waterfront'],1,Sep 8 - 13,Sep,8,Sep,13,497.0,4.99 (69),4.99,69.0,"Ucluelet, Canada",Ucluelet,Canada
"Barn in Essex, Canada",Barn,14th Homestead Barn Loft,[],0,Jun 11 - 16,Jun,11,Jun,16,163.0,4.9 (289),4.9,289.0,"Essex, Canada",Essex,Canada
"Apartment in Bacalar, Mexico",Apartment,"Lagoon Front Hut: Daily Cleaning, Bikes & Kayaks!",[],0,Jun 18 - 23,Jun,18,Jun,23,141.0,4.89 (633),4.89,633.0,"Bacalar, Mexico",Bacalar,Mexico
"Treehouse in Travelers Rest, South Carolina, US",Treehouse,The Forestry House - A modern luxury treehouse.,[],0,Aug 20 - 25,Aug,20,Aug,25,282.0,New,,,"Travelers Rest, South Carolina, US","Travelers Rest, South Carolina",US
"Farm stay in Del Norte County, California, US",Farm stay,Underground Hobbit Hole @ Sustainable Ecovillage,[],0,Jun 9 - 14,Jun,9,Jun,14,89.0,4.54 (195),4.54,195.0,"Del Norte County, California, US","Del Norte County, California",US
"Treehouse in San Carlos, Costa Rica",Treehouse,Rainforest Tree House with Hot Springs,[],0,Aug 31 - Sep 5,Aug,31,Sep,5,132.0,4.84 (763),4.84,763.0,"San Carlos, Costa Rica",San Carlos,Costa Rica
"Treehouse in Frazeysburg, Ohio, US",Treehouse,Tullihas in the Trees Off-Grid Treehouse,[],0,Jun 4 - 9,Jun,4,Jun,9,143.0,4.98 (181),4.98,181.0,"Frazeysburg, Ohio, US","Frazeysburg, Ohio",US
"Cabin in Rodney, Canada",Cabin,SECLUDED LAKESIDE CABIN,[],0,Jul 23 - 28,Jul,23,Jul,28,463.0,4.99 (172),4.99,172.0,"Rodney, Canada",Rodney,Canada
"Room in La Habana, Cuba",Room,Fauria Colonial House (Room 3),[],0,Jun 21 - 26,Jun,21,Jun,26,29.0,4.92 (75),4.92,75.0,"La Habana, Cuba",La Habana,Cuba
"Dome in Terlingua, Texas, US",Dome,Domeland: Off-grid Adobe Dome near Big Bend,[],0,Jul 9 - 14,Jul,9,Jul,14,136.0,4.95 (863),4.95,863.0,"Terlingua, Texas, US","Terlingua, Texas",US
"Home in Port Angeles, Washington, US",Home,Lake Sutherland Waterfront Cabin w/ Expansive Dock,['Waterfront'],1,Sep 1 - 6,Sep,1,Sep,6,688.0,4.82 (83),4.82,83.0,"Port Angeles, Washington, US","Port Angeles, Washington",US
"Treehouse in Fredericksburg, Texas, US",Treehouse,Luxury Tree House X Magical Romantic Forest! Pool!,['Pool'],1,Jun 18 - 23,Jun,18,Jun,23,658.0,4.91 (142),4.91,142.0,"Fredericksburg, Texas, US","Fredericksburg, Texas",US
"Cottage in Harcourt, Canada",Cottage,Scandinavian-Inspired Tiny Home Experience,[],0,Sep 3 - 8,Sep,3,Sep,8,392.0,4.98 (95),4.98,95.0,"Harcourt, Canada",Harcourt,Canada
"Tiny home in Medellín, Colombia",Tiny home,Tiny House Cubo Nube Santa Elena 40 min. Medellin.,[],0,Jun 17 - 22,Jun,17,Jun,22,67.0,4.95 (197),4.95,197.0,"Medellín, Colombia",Medellín,Colombia
"Cabin in Medellín, Colombia",Cabin,Chalet Boutique Saltamontes Santa Elena,[],0,Jun 4 - 9,Jun,4,Jun,9,51.0,4.94 (232),4.94,232.0,"Medellín, Colombia",Medellín,Colombia
"Cabin in Bryson City, North Carolina, US",Cabin,Secluded View! A-Frame Hot Tub and Fire Pit,['Jacuzzi'],1,Jun 19 - 24,Jun,19,Jun,24,354.0,4.95 (20),4.95,20.0,"Bryson City, North Carolina, US","Bryson City, North Carolina",US
"Place to stay in Retiro, Colombia",Place to stay,★ BubbleSky Glamping ★ One Night Under Stars ★3,[],0,Jun 23 - 28,Jun,23,Jun,28,107.0,4.9 (154),4.9,154.0,"Retiro, Colombia",Retiro,Colombia
"Cabin in Bluefields, Jamaica",Cabin,Cozy Oceanview Cabin,[],0,Jul 14 - 21,Jul,14,Jul,21,102.0,4.88 (76),4.88,76.0,"Bluefields, Jamaica",Bluefields,Jamaica
"Hut in Bavaro, Dominican Republic",Hut,Hut #1 Romantic Luxury Beachfront,['Ocean front'],1,Jul 1 - 6,Jul,1,Jul,6,171.0,4.89 (377),4.89,377.0,"Bavaro, Dominican Republic",Bavaro,Dominican Republic
"Treehouse in Marion, North Carolina, US",Treehouse,Treehouse w/Breathtaking Views+HotTub+Hiking+Falls,[],0,Aug 12 - 17,Aug,12,Aug,17,286.0,5.0 (21),5.0,21.0,"Marion, North Carolina, US","Marion, North Carolina",US
"Dome in Sandgate, Vermont, US",Dome,“Whimsical Stone Abode” - Boston Magazine,[],0,Jun 6 - 11,Jun,6,Jun,11,301.0,5.0 (244),5.0,244.0,"Sandgate, Vermont, US","Sandgate, Vermont",US
"Condo in Puerto Vallarta, Mexico",Condo,Buddha Loft in Romantic Zone of Puerto Vallarta,[],0,Jul 12 - 17,Jul,12,Jul,17,112.0,4.85 (175),4.85,175.0,"Puerto Vallarta, Mexico",Puerto Vallarta,Mexico
"Cabin in Sanbornton, New Hampshire, US",Cabin,The G Frame...an offGrid Cabin + woodstove sauna,['Sauna'],1,Jun 4 - 9,Jun,4,Jun,9,169.0,4.96 (395),4.96,395.0,"Sanbornton, New Hampshire, US","Sanbornton, New Hampshire",US
"Room in La Habana, Cuba",Room,Casa Blanca B&B with beautiful terrace &sea views,[],0,Sep 11 - 16,Sep,11,Sep,16,43.0,4.82 (359),4.82,359.0,"La Habana, Cuba",La Habana,Cuba
"Home in Moss Beach, California, US",Home,Walk to the Beach from this Ocean Front Home,['Ocean front'],1,Jun 1 - 6,Jun,1,Jun,6,1463.0,4.94 (149),4.94,149.0,"Moss Beach, California, US","Moss Beach, California",US
"Cottage in Wheatley, Canada",Cottage,"Cozy Modern Beach House w/ Pool, Hot Tub & More!","['Jacuzzi', 'Pool']",2,Jun 4 - 11,Jun,4,Jun,11,764.0,4.74 (19),4.74,19.0,"Wheatley, Canada",Wheatley,Canada
"Cabin in Topanga, California, US",Cabin,"Crystal Cabin, Restored Vintage Lodge in Topanga State Park",[],0,Jun 3 - 8,Jun,3,Jun,8,225.0,4.94 (209),4.94,209.0,"Topanga, California, US","Topanga, California",US
"Chalet in Cajicá, Colombia",Chalet,Casa Anís,[],0,Jun 1 - 6,Jun,1,Jun,6,40.0,4.96 (202),4.96,202.0,"Cajicá, Colombia",Cajicá,Colombia
"Cabin in Center Conway, New Hampshire, US",Cabin,Warm Pine A-frame Nestled In The Trees!,[],0,Jul 1 - 6,Jul,1,Jul,6,287.0,4.79 (536),4.79,536.0,"Center Conway, New Hampshire, US","Center Conway, New Hampshire",US
"Cottage in Renous, Canada",Cottage,Hambrook Point Cottage “Homestead”,[],0,Jun 25 - 30,Jun,25,Jun,30,93.0,4.87 (360),4.87,360.0,"Renous, Canada",Renous,Canada
"Tiny home in Huntsville, Missouri, US",Tiny home,O’s Barn Cabin,[],0,Jul 4 - 9,Jul,4,Jul,9,118.0,4.94 (296),4.94,296.0,"Huntsville, Missouri, US","Huntsville, Missouri",US
"Tiny home in Castleton, Canada",Tiny home,"Artsy ""Glamping"" experience",[],0,Jul 21 - 26,Jul,21,Jul,26,138.0,4.91 (278),4.91,278.0,"Castleton, Canada",Castleton,Canada
"Cottage in Bodega Bay, California, US",Cottage,"Seamist Beach Cottage, Private Beach & Ocean views",[],0,Aug 13 - 18,Aug,13,Aug,18,670.0,4.7 (256),4.7,256.0,"Bodega Bay, California, US","Bodega Bay, California",US
"Cabin in Rocky View County, Canada",Cabin,100+ Year old Rustic Log Cabin near Ghost Lake,[],0,Aug 25 - 30,Aug,25,Aug,30,135.0,4.83 (459),4.83,459.0,"Rocky View County, Canada",Rocky View County,Canada
"Houseboat in Low, Canada",Houseboat,The Dragon + Private Island,[],0,Jun 1 - 6,Jun,1,Jun,6,178.0,4.87 (61),4.87,61.0,"Low, Canada",Low,Canada
"Guesthouse in Key Largo, Florida, US",Guesthouse,"Private Cottage, enjoy beach, sunsets & fishing.",[],0,Jul 11 - 16,Jul,11,Jul,16,218.0,4.89 (314),4.89,314.0,"Key Largo, Florida, US","Key Largo, Florida",US
"Condo in Malibu, California, US",Condo,"Malibu, Carbon Beach - Suite Seven",[],0,Jun 6 - 13,Jun,6,Jun,13,898.0,4.86 (311),4.86,311.0,"Malibu, California, US","Malibu, California",US
"Cottage in Petit-Tracadie, Canada",Cottage,Waterfront Cottage #1 /Waterfront cottage,['Waterfront'],1,Jun 4 - 9,Jun,4,Jun,9,144.0,4.92 (267),4.92,267.0,"Petit-Tracadie, Canada",Petit-Tracadie,Canada
"Cabin in Jarratt, Virginia, US",Cabin,Harrell’s Cabin,[],0,Jun 4 - 9,Jun,4,Jun,9,125.0,4.82 (612),4.82,612.0,"Jarratt, Virginia, US","Jarratt, Virginia",US
"Cabin in El Peñol, Colombia",Cabin,6 Ibuku Big Cabin by Lake Jacuzzi Kayak,"['Jacuzzi', 'Kayak']",2,Jun 12 - 17,Jun,12,Jun,17,220.0,4.93 (46),4.93,46.0,"El Peñol, Colombia",El Peñol,Colombia
"Guest suite in North Vancouver, Canada",Guest suite,The Brite House - Oceanfront Sojourn,[],0,Jun 6 - 11,Jun,6,Jun,11,305.0,4.87 (319),4.87,319.0,"North Vancouver, Canada",North Vancouver,Canada
"Home in Shirley, Canada",Home,♨ Cedar Coast Lodge - Coastal retreat w/ HOT TUB,['Jacuzzi'],1,Jun 4 - 9,Jun,4,Jun,9,480.0,4.82 (125),4.82,125.0,"Shirley, Canada",Shirley,Canada
"Apartment in Miami, Florida, US",Apartment,"LUXURY 5★s ICON BRICKELL CONDO@47TH, GYM/POOL",['Pool'],1,Jun 27 - Jul 4,Jun,27,Jul,4,398.0,4.89 (605),4.89,605.0,"Miami, Florida, US","Miami, Florida",US
"Room in Kansas City, Missouri, US",Room,Mansion in the Park - garden view queen en suite,[],0,Jun 4 - 10,Jun,4,Jun,10,148.0,4.99 (93),4.99,93.0,"Kansas City, Missouri, US","Kansas City, Missouri",US
"Dome in Lac-Supérieur, Canada",Dome,Dome L'Albatros | Private Spa | BBQ Zone,[],0,Jul 25 - 31,Jul,25,Jul,31,322.0,4.86 (196),4.86,196.0,"Lac-Supérieur, Canada",Lac-Supérieur,Canada
"Chalet in Saint-Damien, Canada",Chalet,The Majesta ! Incredible Sunset !,[],0,Jun 1 - 6,Jun,1,Jun,6,315.0,5.0 (11),5.0,11.0,"Saint-Damien, Canada",Saint-Damien,Canada
"Home in Tulum, Mexico",Home,"Heaven Lodge, entire house surrounded by nature",['Nature'],1,Jun 2 - 7,Jun,2,Jun,7,128.0,4.86 (155),4.86,155.0,"Tulum, Mexico",Tulum,Mexico
"Apartment in Tulum, Mexico",Apartment,☆King Bed Apartment☆ Suk-Ha ☆ La Veleta,[],0,Jun 1 - 6,Jun,1,Jun,6,55.0,4.6 (73),4.6,73.0,"Tulum, Mexico",Tulum,Mexico
"Chalet in Durham, Canada",Chalet,Newly-Constructed Riverfront Chalet,[],0,Jun 4 - 9,Jun,4,Jun,9,360.0,4.97 (95),4.97,95.0,"Durham, Canada",Durham,Canada
"Tent in Island Park, Idaho, US",Tent,"Yellowstone Luxury Tent; sleeps 3, 1 king +1 futon",[],0,Jun 15 - 20,Jun,15,Jun,20,224.0,5.0 (31),5.0,31.0,"Island Park, Idaho, US","Island Park, Idaho",US
"Cabin in Arrowbear Lake, California, US",Cabin,A-Frame Apogee | Hot Tub · Epic Views · Swing Set,['Jacuzzi'],1,Jun 19 - 24,Jun,19,Jun,24,227.0,4.96 (166),4.96,166.0,"Arrowbear Lake, California, US","Arrowbear Lake, California",US
"Home in Borinquen, Puerto Rico",Home,The Nest at Crash Boat. Only waterfront on Beach,['Waterfront'],1,Aug 7 - 12,Aug,7,Aug,12,363.0,4.9 (143),4.9,143.0,"Borinquen, Puerto Rico",Borinquen,Puerto Rico
"Cottage in Wasaga Beach, Canada",Cottage,Cozy Riverfront Cottage Retreat with Dock,[],0,Jun 11 - 16,Jun,11,Jun,16,232.0,4.84 (55),4.84,55.0,"Wasaga Beach, Canada",Wasaga Beach,Canada
"Tiny home in Blockhouse, Canada",Tiny home,The Ruby -A Rustic Red Ark tiny home,[],0,Jun 18 - 23,Jun,18,Jun,23,81.0,4.98 (43),4.98,43.0,"Blockhouse, Canada",Blockhouse,Canada
"Guesthouse in Peachland, Canada",Guesthouse,Romantic lakefront estate with lake view & deck,[],0,Jun 2 - 7,Jun,2,Jun,7,271.0,5.0 (311),5.0,311.0,"Peachland, Canada",Peachland,Canada
"Cabin in Shaftsbury, Vermont, US",Cabin,The Vermont Dream Cabin on 70 Acres,[],0,Jun 4 - 9,Jun,4,Jun,9,219.0,4.89 (136),4.89,136.0,"Shaftsbury, Vermont, US","Shaftsbury, Vermont",US
"Cabin in Tulum, Mexico",Cabin,Jungle Lodge at Nahouse in Tulum,[],0,Jun 1 - 6,Jun,1,Jun,6,109.0,,,,"Tulum, Mexico",Tulum,Mexico
"Dome in Windermere, Canada",Dome,Cougar Dome at Winderdome Resort!,[],0,Aug 27 - Sep 1,Aug,27,Sep,1,335.0,5.0 (16),5.0,16.0,"Windermere, Canada",Windermere,Canada
"Condo in Myrtle Beach, South Carolina, US",Condo,Cool Clean Condo with Brilliant Oceanfront View,[],0,Jun 25 - Jul 1,Jun,25,Jul,1,261.0,4.58 (108),4.58,108.0,"Myrtle Beach, South Carolina, US","Myrtle Beach, South Carolina",US
"Hotel room in Laguna Beach, California, US",Hotel room,Beachfront Laguna Beach Magnificent Oceanviews 26,['Ocean front'],1,Jun 1 - 6,Jun,1,Jun,6,287.0,4.38 (396),4.38,396.0,"Laguna Beach, California, US","Laguna Beach, California",US
"Apartment in Playa del Carmen, Mexico",Apartment,"Su mejor opción en Playa del Carmen, a pasos de la quinta av.",[],0,Jun 4 - 9,Jun,4,Jun,9,89.0,4.78 (231),4.78,231.0,"Playa del Carmen, Mexico",Playa del Carmen,Mexico
"Tiny home in Maynooth, Canada",Tiny home,Cozy Cabin #2 - private cabin in the wilderness!,[],0,Jun 4 - 9,Jun,4,Jun,9,71.0,4.89 (90),4.89,90.0,"Maynooth, Canada",Maynooth,Canada
"Guesthouse in Cabo Rojo, Puerto Rico",Guesthouse,Villa Vista Puerto,[],0,Jun 26 - Jul 1,Jun,26,Jul,1,138.0,4.86 (493),4.86,493.0,"Cabo Rojo, Puerto Rico",Cabo Rojo,Puerto Rico
"Tiny home in Canning, Canada",Tiny home,Split View Two,[],0,Aug 2 - 7,Aug,2,Aug,7,134.0,4.95 (81),4.95,81.0,"Canning, Canada",Canning,Canada
"Cottage in Luquillo, Puerto Rico",Cottage,The Sugar Shack a unique cabin in the Rainforest,[],0,Sep 4 - 9,Sep,4,Sep,9,75.0,4.92 (447),4.92,447.0,"Luquillo, Puerto Rico",Luquillo,Puerto Rico
"Condo in Lahaina, Hawaii, US",Condo,Noelani-My Perfect Stays Special: Jun 9-16 $189,[],0,Jun 9 - 14,Jun,9,Jun,14,302.0,4.82 (71),4.82,71.0,"Lahaina, Hawaii, US","Lahaina, Hawaii",US
"Condo in Hollywood, Florida, US",Condo,Amazing Hyde One-bedroom apartment on the Beach,[],0,Jun 4 - 9,Jun,4,Jun,9,248.0,4.56 (62),4.56,62.0,"Hollywood, Florida, US","Hollywood, Florida",US
"Cabin in Naples, New York, US",Cabin,East hill cabins #1,[],0,Jun 11 - 16,Jun,11,Jun,16,91.0,4.82 (334),4.82,334.0,"Naples, New York, US","Naples, New York",US
"Campsite in Nemaiah Valley, Canada",Campsite,Sunset Wilderness Camp,[],0,Jun 1 - 6,Jun,1,Jun,6,34.0,4.0 (3),4.0,3.0,"Nemaiah Valley, Canada",Nemaiah Valley,Canada
"Loft in The Blue Mountains, Canada",Loft,Chateau Ridge Chalet w/ Mountain View,[],0,Jun 5 - 12,Jun,5,Jun,12,154.0,4.84 (95),4.84,95.0,"The Blue Mountains, Canada",The Blue Mountains,Canada
"Loft in The Blue Mountains, Canada",Loft,Cozy Blue Mountain Retreat @!@Spring Rates@!@,[],0,Jun 4 - 9,Jun,4,Jun,9,118.0,4.72 (365),4.72,365.0,"The Blue Mountains, Canada",The Blue Mountains,Canada
"Room in Mexico City, Mexico",Room,5 min to Airport with Terrace in a Safe area !,[],0,Jun 3 - 8,Jun,3,Jun,8,31.0,4.85 (227),4.85,227.0,"Mexico City, Mexico",Mexico City,Mexico
"Tiny home in Komoka, Canada",Tiny home,The Cabin at Fernwood Hills,[],0,Jun 11 - 16,Jun,11,Jun,16,112.0,4.9 (597),4.9,597.0,"Komoka, Canada",Komoka,Canada
"Place to stay in Punta Cana, Dominican Republic",Place to stay,Hut #3 Romantic Luxury on the sand,[],0,Jul 11 - 16,Jul,11,Jul,16,132.0,4.86 (29),4.86,29.0,"Punta Cana, Dominican Republic",Punta Cana,Dominican Republic
"Home in Hilbert, Wisconsin, US",Home,State Park A-Frame with Hiking Trails & Arcade,[],0,Jun 4 - 9,Jun,4,Jun,9,239.0,4.97 (29),4.97,29.0,"Hilbert, Wisconsin, US","Hilbert, Wisconsin",US
"Dome in Whittier, North Carolina, US",Dome,Luxury Dome w/ Hot Tub & Mountain View,['Jacuzzi'],1,Aug 7 - 12,Aug,7,Aug,12,291.0,5.0 (11),5.0,11.0,"Whittier, North Carolina, US","Whittier, North Carolina",US
"Home in Puntarenas Province, Costa Rica",Home,House with pool in the heights of Santa Teresa,['Pool'],1,Jun 4 - 9,Jun,4,Jun,9,230.0,5.0 (6),5.0,6.0,"Puntarenas Province, Costa Rica",Puntarenas Province,Costa Rica
"Loft in Monteverde, Costa Rica",Loft,Kapetsowa Container Loft near Monteverde Reserve,[],0,Sep 5 - 10,Sep,5,Sep,10,159.0,4.87 (396),4.87,396.0,"Monteverde, Costa Rica",Monteverde,Costa Rica
"Nature lodge in Quesada, Costa Rica",Nature lodge,Cabin Over a water fall,[],0,Jun 5 - 10,Jun,5,Jun,10,82.0,4.94 (133),4.94,133.0,"Quesada, Costa Rica",Quesada,Costa Rica
"Boat in Key West, Florida, US",Boat,Cozy Houseboat “Wild One”,[],0,Jun 11 - 16,Jun,11,Jun,16,233.0,5.0 (4),5.0,4.0,"Key West, Florida, US","Key West, Florida",US
"Cabin in Zapotal, Costa Rica",Cabin,Pipe’s Lodge,[],0,Jun 4 - 9,Jun,4,Jun,9,51.0,4.87 (31),4.87,31.0,"Zapotal, Costa Rica",Zapotal,Costa Rica
"Guesthouse in Destin, Florida, US",Guesthouse,New Carriage House * 1 Block to Beach * King Bed!,[],0,Aug 13 - 18,Aug,13,Aug,18,231.0,New,,,"Destin, Florida, US","Destin, Florida",US
"Tiny home in Playa Hermosa, Costa Rica",Tiny home,Beachfront Bungalow with private hydromassage Pool,"['Ocean front', 'Pool']",2,Jul 3 - 9,Jul,3,Jul,9,162.0,4.95 (149),4.95,149.0,"Playa Hermosa, Costa Rica",Playa Hermosa,Costa Rica
"Home in Bellingham, Washington, US",Home,Bellingham A-Frame - Hot tub & Firepit,['Jacuzzi'],1,Jun 11 - 16,Jun,11,Jun,16,232.0,New,,,"Bellingham, Washington, US","Bellingham, Washington",US
"Apartment in San Juan, Puerto Rico",Apartment,"Villa Bohème 3, 1BR with Patio",[],0,Jul 8 - 13,Jul,8,Jul,13,115.0,New,,,"San Juan, Puerto Rico",San Juan,Puerto Rico
"Loft in Mexico City, Mexico",Loft,Loft Boutique Cd de México Mountain view 🏔,[],0,Jul 9 - 14,Jul,9,Jul,14,57.0,4.84 (155),4.84,155.0,"Mexico City, Mexico",Mexico City,Mexico
"Cabin in Gold Bar, Washington, US",Cabin,New lux cabin w/mount index view,[],0,Jun 25 - 30,Jun,25,Jun,30,253.0,4.86 (7),4.86,7.0,"Gold Bar, Washington, US","Gold Bar, Washington",US
"Home in Malibu, California, US",Home,Guesthouse Great Ocean & Mountain Views near Beach,[],0,Jul 31 - Aug 5,Jul,31,Aug,5,468.0,4.87 (694),4.87,694.0,"Malibu, California, US","Malibu, California",US
"Tiny home in Orlando, Florida, US",Tiny home,The Little Tree House at Country Club of Orlando,[],0,Jul 9 - 14,Jul,9,Jul,14,127.0,4.98 (604),4.98,604.0,"Orlando, Florida, US","Orlando, Florida",US
"Boat in Marathon, Florida, US",Boat,Paradise awaits on this cozy houseboat!,[],0,Jul 17 - 22,Jul,17,Jul,22,276.0,4.77 (98),4.77,98.0,"Marathon, Florida, US","Marathon, Florida",US
"Hut in Uvero Alto - Bavaro - Punta Cana, Dominican Republic",Hut,Hut #2 Romantic Luxury on the sand,[],0,Aug 1 - 6,Aug,1,Aug,6,186.0,4.94 (226),4.94,226.0,"Uvero Alto - Bavaro - Punta Cana, Dominican Republic",Uvero Alto - Bavaro - Punta Cana,Dominican Republic
"Loft in Mazamitla, Mexico",Loft,Loft ALAMO /El Refugio Cabañas Mazamitla,[],0,Jun 25 - 30,Jun,25,Jun,30,58.0,4.44 (146),4.44,146.0,"Mazamitla, Mexico",Mazamitla,Mexico
"Apartment in Punta Cana, Dominican Republic",Apartment,Pool View Beach Residence / Private Beach Access,['Pool'],1,Jun 21 - 26,Jun,21,Jun,26,37.0,4.71 (156),4.71,156.0,"Punta Cana, Dominican Republic",Punta Cana,Dominican Republic
"Treehouse in Wardensville, West Virginia, US",Treehouse,Eagles Nest Treehouse w/Hot tub!,['Jacuzzi'],1,Jun 4 - 10,Jun,4,Jun,10,244.0,New,,,"Wardensville, West Virginia, US","Wardensville, West Virginia",US
"Boat in Stuart, Florida, US",Boat,Modern Houseboat On the water,[],0,Aug 6 - 11,Aug,6,Aug,11,173.0,4.97 (264),4.97,264.0,"Stuart, Florida, US","Stuart, Florida",US
"Apartment in Playa del Carmen, Mexico",Apartment,BoHo lofts & studios new modern w/ ocean-view pool,['Pool'],1,Jun 1 - 7,Jun,1,Jun,7,38.0,4.59 (183),4.59,183.0,"Playa del Carmen, Mexico",Playa del Carmen,Mexico
"Condo in Miami Beach, Florida, US",Condo,Oceanfront 14th Floor Brand New Beachfront Flat,['Ocean front'],1,Jun 14 - 19,Jun,14,Jun,19,302.0,4.85 (646),4.85,646.0,"Miami Beach, Florida, US","Miami Beach, Florida",US
"Earthen home in Weaverville, North Carolina, US",Earthen home,Hobbithenge,[],0,Jun 5 - 10,Jun,5,Jun,10,142.0,4.83 (304),4.83,304.0,"Weaverville, North Carolina, US","Weaverville, North Carolina",US
"Shipping container in Playa Hermosa, Costa Rica",Shipping container,Beachfront Bungalow w/ private hydromassage pool 2,"['Ocean front', 'Pool']",2,Jun 10 - 15,Jun,10,Jun,15,147.0,4.9 (68),4.9,68.0,"Playa Hermosa, Costa Rica",Playa Hermosa,Costa Rica
"Cabin in Marion, North Carolina, US",Cabin,"Luxury Treehouse, Romantic, Views, Hike-Waterfall",[],0,Jul 29 - Aug 3,Jul,29,Aug,3,228.0,5.0 (18),5.0,18.0,"Marion, North Carolina, US","Marion, North Carolina",US
"Camper/RV in Half Moon Bay, California, US",Camper/RV,Quiet and Private Retreat in a 1967 Airstream on the Coast.,[],0,Jun 25 - 30,Jun,25,Jun,30,220.0,4.93 (347),4.93,347.0,"Half Moon Bay, California, US","Half Moon Bay, California",US
"Dome in Hiawassee, Georgia, US",Dome,Tiny Dome River Glamping Experience,[],0,Jun 18 - 23,Jun,18,Jun,23,143.0,4.86 (289),4.86,289.0,"Hiawassee, Georgia, US","Hiawassee, Georgia",US
"Apartment in San José, Costa Rica",Apartment,New Boho Sabana Apartment Close to Airports w/ AC,['Air conditioning'],1,Jun 23 - 28,Jun,23,Jun,28,89.0,4.85 (81),4.85,81.0,"San José, Costa Rica",San José,Costa Rica
"Condo in Rosarito, Mexico",Condo,Elegant Ocean Front Condo! Rosarito Beach !WOW!!,['Ocean front'],1,Jun 10 - 15,Jun,10,Jun,15,171.0,4.81 (245),4.81,245.0,"Rosarito, Mexico",Rosarito,Mexico
